feature,importance
rotational_speed_rpm_trend,0.31038085
torque_Nm_trend,0.09388085
torque_Nm_std,0.08564797
tool_wear_min_std,0.079882525
torque_Nm_mean,0.05946821
rotational_speed_rpm_last,0.05235307
torque_Nm_min,0.051902317
rotational_speed_rpm_mean,0.04211733
tool_wear_min_min,0.037892397
rotational_speed_rpm_min,0.033594627
torque_Nm_max,0.03235367
rotational_speed_rpm_max,0.028476857
tool_wear_min_trend,0.027459856
process_temperature_K_trend,0.027010573
rotational_speed_rpm_std,0.01712585
torque_Nm_last,0.013077489
process_temperature_K_mean,0.003834215
air_temperature_K_mean,0.003541368
process_temperature_K_std,0.0
air_temperature_K_min,0.0
air_temperature_K_max,0.0
air_temperature_K_last,0.0
air_temperature_K_trend,0.0
air_temperature_K_std,0.0
process_temperature_K_min,0.0
process_temperature_K_max,0.0
process_temperature_K_last,0.0
tool_wear_min_mean,0.0
tool_wear_min_max,0.0
tool_wear_min_last,0.0
engine_type_encoded,0.0
