feature,importance
rotational_speed_rpm_trend,0.30862752
torque_Nm_last,0.10266943
rotational_speed_rpm_last,0.09633771
torque_Nm_trend,0.08978073
torque_Nm_mean,0.08386477
torque_Nm_std,0.044397917
torque_Nm_max,0.043496374
rotational_speed_rpm_max,0.028978929
rotational_speed_rpm_mean,0.023842296
tool_wear_min_trend,0.020318164
rotational_speed_rpm_std,0.014542901
rotational_speed_rpm_min,0.0141425505
tool_wear_min_max,0.013700634
process_temperature_K_trend,0.011875714
tool_wear_min_last,0.010092517
air_temperature_K_mean,0.009481154
air_temperature_K_min,0.008993441
air_temperature_K_trend,0.008643056
process_temperature_K_mean,0.008503371
process_temperature_K_last,0.008453373
tool_wear_min_min,0.008380798
air_temperature_K_last,0.008305886
process_temperature_K_std,0.007174552
air_temperature_K_std,0.0070095626
tool_wear_min_mean,0.0062339585
tool_wear_min_std,0.0059344876
torque_Nm_min,0.0047471635
engine_type_encoded,0.0014710699
process_temperature_K_min,0.0
air_temperature_K_max,0.0
process_temperature_K_max,0.0
