unit_id,proba_failure,needs_maintenance,days_to_maintenance,message
239,0.6592118,1,3,in 3 days machine 239.0 needs maintenance
239,0.12874536,0,6,
260,0.6005453,1,3,in 3 days machine 260.0 needs maintenance
260,0.35432318,0,5,
572,0.08013547,0,7,
599,0.3576353,0,5,
678,0.5648543,1,4,in 4 days machine 678.0 needs maintenance
729,0.373757,0,5,
793,0.1793601,0,6,
1051,0.14170206,0,6,
1367,0.51929027,1,4,in 4 days machine 1367.0 needs maintenance
1383,0.90458626,1,2,in 2 days machine 1383.0 needs maintenance
1460,0.14643292,0,6,
1522,0.18648118,0,6,
1774,0.9789318,1,1,in 1 days machine 1774.0 needs maintenance
1805,0.79805267,1,2,in 2 days machine 1805.0 needs maintenance
1859,0.4875519,0,4,
2024,0.47411102,0,4,
2087,0.5557586,1,4,in 4 days machine 2087.0 needs maintenance
2341,0.3241887,0,5,
2512,0.5809519,1,4,in 4 days machine 2512.0 needs maintenance
2608,0.34869447,0,5,
2608,0.12889194,0,6,
2883,0.8515177,1,2,in 2 days machine 2883.0 needs maintenance
2935,0.88713413,1,2,in 2 days machine 2935.0 needs maintenance
3052,0.66313434,1,3,in 3 days machine 3052.0 needs maintenance
3097,0.44929168,0,4,
3134,0.33465046,0,5,
3239,0.7928022,1,2,in 2 days machine 3239.0 needs maintenance
3351,0.5857522,1,3,in 3 days machine 3351.0 needs maintenance
3521,0.42480537,0,4,
3596,0.87210983,1,2,in 2 days machine 3596.0 needs maintenance
3937,0.87079567,1,2,in 2 days machine 3937.0 needs maintenance
4015,0.17091559,0,6,
4502,0.834983,1,2,in 2 days machine 4502.0 needs maintenance
4546,0.39453492,0,5,
4546,0.22778898,0,6,
4617,0.17758699,0,6,
4665,0.8956973,1,2,in 2 days machine 4665.0 needs maintenance
4665,0.17046945,0,6,
4724,0.63786364,1,3,in 3 days machine 4724.0 needs maintenance
4861,0.36517745,0,5,
4909,0.20467249,0,6,
5044,0.14292954,0,6,
5100,0.6533685,1,3,in 3 days machine 5100.0 needs maintenance
5109,0.3975964,0,5,
5210,0.36020932,0,5,
5441,0.57680625,1,4,in 4 days machine 5441.0 needs maintenance
5567,0.93829894,1,1,in 1 days machine 5567.0 needs maintenance
5567,0.7175746,1,3,in 3 days machine 5567.0 needs maintenance
5761,0.9235428,1,1,in 1 days machine 5761.0 needs maintenance
6044,0.96101475,1,1,in 1 days machine 6044.0 needs maintenance
6326,0.1589163,0,6,
6353,0.70495474,1,3,in 3 days machine 6353.0 needs maintenance
6353,0.51875365,1,4,in 4 days machine 6353.0 needs maintenance
6701,0.65476483,1,3,in 3 days machine 6701.0 needs maintenance
6701,0.5794115,1,4,in 4 days machine 6701.0 needs maintenance
6722,0.862559,1,2,in 2 days machine 6722.0 needs maintenance
6807,0.83593184,1,2,in 2 days machine 6807.0 needs maintenance
6845,0.6505767,1,3,in 3 days machine 6845.0 needs maintenance
6982,0.8565355,1,2,in 2 days machine 6982.0 needs maintenance
7045,0.99491227,1,1,in 1 days machine 7045.0 needs maintenance
7092,0.04017123,0,7,
7301,0.2614573,0,5,
7318,0.4708199,0,4,
7326,0.6824564,1,3,in 3 days machine 7326.0 needs maintenance
7349,0.47325733,0,4,
7431,0.95435846,1,1,in 1 days machine 7431.0 needs maintenance
7497,0.5675185,1,4,in 4 days machine 7497.0 needs maintenance
7538,0.04327798,0,7,
7575,0.9994996,1,1,in 1 days machine 7575.0 needs maintenance
7696,0.8625587,1,2,in 2 days machine 7696.0 needs maintenance
7798,0.6240488,1,3,in 3 days machine 7798.0 needs maintenance
7932,0.8684741,1,2,in 2 days machine 7932.0 needs maintenance
7949,0.9273044,1,1,in 1 days machine 7949.0 needs maintenance
8049,0.17785464,0,6,
8049,0.036388434,0,7,
8144,0.6383474,1,3,in 3 days machine 8144.0 needs maintenance
8303,0.58293617,1,4,in 4 days machine 8303.0 needs maintenance
8506,0.7247065,1,3,in 3 days machine 8506.0 needs maintenance
8615,0.16125467,0,6,
8653,0.24007542,0,6,
8689,0.930588,1,1,in 1 days machine 8689.0 needs maintenance
8793,0.21548085,0,6,
8883,0.17665687,0,6,
9251,0.268991,0,5,
9320,0.99834484,1,1,in 1 days machine 9320.0 needs maintenance
9373,0.6834824,1,3,in 3 days machine 9373.0 needs maintenance
9376,0.25764737,0,5,
9605,0.28377727,0,5,
9630,0.7894124,1,2,in 2 days machine 9630.0 needs maintenance
9658,0.7900522,1,2,in 2 days machine 9658.0 needs maintenance
9672,0.7612895,1,2,in 2 days machine 9672.0 needs maintenance
9672,0.74107134,1,3,in 3 days machine 9672.0 needs maintenance
9769,0.4793036,0,4,
9980,0.77199346,1,2,in 2 days machine 9980.0 needs maintenance
