unit_id,proba_failure,needs_maintenance,days_to_maintenance,message
549,0.9993242,1,1,in 1 days machine 549.0 needs maintenance
9658,0.0001968268,0,7,
8259,0.95917743,1,1,in 1 days machine 8259.0 needs maintenance
4115,0.00060772395,0,7,
4424,0.97741324,1,1,in 1 days machine 4424.0 needs maintenance
9373,0.9048119,1,2,in 2 days machine 9373.0 needs maintenance
685,0.0014838566,0,7,
307,0.071101174,0,7,
6240,0.00065384794,0,7,
925,0.01965058,0,7,
942,0.7381214,1,3,in 3 days machine 942.0 needs maintenance
412,0.06290493,0,7,
713,0.99887305,1,1,in 1 days machine 713.0 needs maintenance
3813,0.9963987,1,1,in 1 days machine 3813.0 needs maintenance
7794,0.998749,1,1,in 1 days machine 7794.0 needs maintenance
6035,0.0004436128,0,7,
7237,0.33139846,0,5,
8975,0.0003691352,0,7,
1,8.008968e-05,0,7,
4980,0.00036473555,0,7,
9488,0.031552657,0,7,
939,0.99574006,1,1,in 1 days machine 939.0 needs maintenance
6656,0.000146413,0,7,
5826,0.99966466,1,1,in 1 days machine 5826.0 needs maintenance
5567,0.0020911312,0,7,
273,0.00019655899,0,7,
9369,0.03410477,0,7,
7736,0.99579936,1,1,in 1 days machine 7736.0 needs maintenance
3835,0.0019766488,0,7,
9985,0.00026880557,0,7,
2335,0.9953876,1,1,in 1 days machine 2335.0 needs maintenance
6653,0.0060595204,0,7,
1566,0.984324,1,1,in 1 days machine 1566.0 needs maintenance
3102,0.99706596,1,1,in 1 days machine 3102.0 needs maintenance
6161,0.99429435,1,1,in 1 days machine 6161.0 needs maintenance
7515,0.00026779567,0,7,
4840,0.99073166,1,1,in 1 days machine 4840.0 needs maintenance
2387,0.99755377,1,1,in 1 days machine 2387.0 needs maintenance
7117,0.038646348,0,7,
6208,0.00067006215,0,7,
599,0.99914765,1,1,in 1 days machine 599.0 needs maintenance
985,0.0039805872,0,7,
6785,0.9944507,1,1,in 1 days machine 6785.0 needs maintenance
9228,0.9906284,1,1,in 1 days machine 9228.0 needs maintenance
8775,0.49852285,0,4,
9914,0.9959266,1,1,in 1 days machine 9914.0 needs maintenance
4905,0.99295956,1,1,in 1 days machine 4905.0 needs maintenance
8587,0.9877721,1,1,in 1 days machine 8587.0 needs maintenance
7446,0.99930656,1,1,in 1 days machine 7446.0 needs maintenance
4917,0.009144193,0,7,
6845,0.0009853627,0,7,
2818,0.0010205528,0,7,
3588,0.99895525,1,1,in 1 days machine 3588.0 needs maintenance
8112,0.9939545,1,1,in 1 days machine 8112.0 needs maintenance
7062,0.9995876,1,1,in 1 days machine 7062.0 needs maintenance
8215,0.0011003923,0,7,
5476,0.00045127643,0,7,
7535,0.00042751813,0,7,
860,0.99924195,1,1,in 1 days machine 860.0 needs maintenance
8604,0.0019755692,0,7,
540,0.0014386099,0,7,
592,0.00054554304,0,7,
9047,0.9958364,1,1,in 1 days machine 9047.0 needs maintenance
1626,0.22153339,0,6,
1483,0.0070626917,0,7,
4076,0.98525316,1,1,in 1 days machine 4076.0 needs maintenance
4071,0.00048163644,0,7,
2816,0.007832787,0,7,
8653,0.0022480558,0,7,
4738,0.9998311,1,1,in 1 days machine 4738.0 needs maintenance
8783,0.014811479,0,7,
7644,0.00030839158,0,7,
914,0.019595705,0,7,
1691,0.0002683989,0,7,
1329,0.0033366247,0,7,
